dataset,setting,subject,seed,method,accuracy,source_accuracy,delta_vs_source,mean_acc,worst_delta_vs_source,ntr_s_0p5,source_file
BCIC IV-2a,aug_True_9subj,S2,0,replay_h6_weighted,72.22,72.57,-0.35,83.217,-0.35,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S3,0,replay_h6_weighted,94.1,93.06,1.04,83.217,-0.35,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S4,0,replay_h6_weighted,81.94,81.94,0.0,83.217,-0.35,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S5,0,replay_h6_weighted,78.12,77.43,0.69,83.217,-0.35,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S6,0,replay_h6_weighted,70.83,70.49,0.34,83.217,-0.35,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S7,0,replay_h6_weighted,93.06,90.97,2.09,83.217,-0.35,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S8,0,replay_h6_weighted,84.03,84.38,-0.35,83.217,-0.35,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S9,0,replay_h6_weighted,88.54,87.85,0.69,83.217,-0.35,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S2,1,source_only,62.5,missing,missing,64.93,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S2,2,source_only,66.32,missing,missing,64.93,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S2,3,source_only,65.97,missing,missing,64.93,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S4,1,source_only,81.94,missing,missing,80.667,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S4,2,source_only,81.94,missing,missing,80.667,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S4,3,source_only,78.12,missing,missing,80.667,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
