method,seed_0,seed_1,seed_2,seed_3,mean,std,n
source_only,86.81,92.36,89.58,89.58,89.58,1.96,4
replay_safe_uniform,89.24,93.4,91.67,91.32000000000001,91.41,1.48,4
replay_h6_weighted,89.24,93.4,92.36,91.32000000000001,91.58,1.54,4
