tag,avg_acc,base_lr,ttt_loss_scale,ttt_reg_lambda,entropy_threshold,alpha_max,lr_scale_max
blr0.1_ls0.1_reg0.05_thr0.95_am0.5_lrm0.5,0.8390804595417447,0.1,0.1,0.05,0.95,0.5,0.5
blr0.1_ls0.2_reg0.05_thr0.95_am0.5_lrm0.5,0.8199233810106913,0.1,0.2,0.05,0.95,0.5,0.5
